"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"diffexpressed"
"ABCA6"	405.659470764388	1.68920024426108	0.405448170533734	4.16625444884216	3.09645080087337e-05	0.0181430550295076	"UP"
"ABCA8"	1230.74191992633	1.97425586392974	0.579705194043106	3.40562045021617	0.000660138856722595	0.0440075228258247	"UP"
"ABHD17B"	557.974645881315	1.365536418472	0.365669436995796	3.73434659918735	0.000188203161432152	0.0324294008088962	"UP"
"ABHD6"	445.493110537969	0.888525944642196	0.230457305827401	3.85549046254863	0.000115497833763823	0.0288787426649974	"UP"
"ACAT2"	261.444608189806	0.680958884095372	0.187590004986028	3.63003820030866	0.000283379277731614	0.0364324069024265	"UP"
"ACSL1"	1077.22140086021	1.51000711683766	0.45048980334361	3.35192296391646	0.000802523465196378	0.0489803897727642	"UP"
"ACSS3"	301.469794944694	-0.764399390762543	0.213122884436177	-3.58666031001216	0.000334940184117838	0.0374492138109121	"DOWN"
"ADAMTS4"	1811.13833676117	1.84443982798989	0.516857333026322	3.56856662396616	0.000358939584651046	0.0385460590427125	"UP"
"ADGRA3"	497.923299005576	-0.819598741890587	0.234844954683049	-3.48995678019454	0.000483098670423763	0.0415057049893826	"DOWN"
"ADIPOR2"	1800.9803765854	1.5093836586398	0.427471309522352	3.53095897903968	0.000414055956654315	0.0401881699931595	"UP"
"AGPAT4"	1987.07804668292	1.02642201282546	0.296094185339215	3.46653890433397	0.000527205433530087	0.0429914938586893	"UP"
"AIFM3"	669.800205236646	-1.15931488794471	0.321597928414546	-3.60485807125699	0.000312323564353542	0.0371120195899517	"DOWN"
"AL391987.2"	6.95857713694607	-2.02480050237362	0.472709902216264	-4.28338922641666	1.84067758887151e-05	0.0160875674903054	"DOWN"
"ALCAM"	1780.775807331	1.26348681767564	0.350366957977292	3.60618143037771	0.000310735919398747	0.0371120195899517	"UP"
"AMER2"	5828.92800524945	1.42047220022052	0.410328091308324	3.46179613414079	0.000536583441117097	0.0430210709652246	"UP"
"ANGPTL2"	251.501185360655	1.49228174816043	0.407819771413338	3.65916969397729	0.000253033752037373	0.035612604467791	"UP"
"APLP1"	11223.9695467237	1.12960283225572	0.323688824105643	3.4897801472659	0.000483418071218335	0.0415057049893826	"UP"
"APOD"	2638.50758591627	1.1695947648352	0.345470840903347	3.38550935811806	0.000710462870202247	0.0459076079055401	"UP"
"ATG3"	409.467311226036	0.814541794974296	0.209051841793538	3.89636268203151	9.76481297757702e-05	0.0282229265553034	"UP"
"ATOX1"	303.235213255423	0.642839082483489	0.183731584512147	3.49879463669998	0.000467366400918004	0.0407878615693941	"UP"
"B3GNT9"	242.775577483567	1.30703230633774	0.379935120547251	3.44014605560843	0.000581400341294937	0.0430747581848643	"UP"
"BACE1"	2612.83123290771	1.11773116926398	0.307534800218168	3.6344867913194	0.000278534526102449	0.0364095850356333	"UP"
"BAMBI"	125.944212146217	0.998378333009944	0.293058543289236	3.40675389225758	0.000657403756640328	0.0440075228258247	"UP"
"BBX"	1693.80559857716	1.11668449688154	0.323798691657623	3.44869984237704	0.000563292475782724	0.0430210709652246	"UP"
"BOK"	1193.67516682539	1.62225066987716	0.47479236824024	3.41675809973491	0.000633715615222127	0.0439193060982827	"UP"
"BRIX1"	110.671876911696	0.679443624810068	0.190804745775942	3.5609367159448	0.000369534146966187	0.0385460590427125	"UP"
"BTBD3"	1819.73608442198	0.765881899754467	0.222461456508355	3.44276222845688	0.000575805325203188	0.0430210709652246	"UP"
"C21orf91"	492.177766384938	2.55400930014097	0.601705273383118	4.24461844215014	2.18965687156625e-05	0.0166012485145914	"UP"
"CA14"	99.0311278552434	2.1294184827301	0.600694864251476	3.54492540132428	0.000392724216772978	0.0390066039759886	"UP"
"CARNS1"	5197.67470358434	2.17105046068826	0.634265472913416	3.42293653588901	0.000619485389291167	0.0439013253087316	"UP"
"CBR1"	1374.85823458255	1.25228966750714	0.340633264458432	3.67635753219268	0.000236587883507519	0.0352837264653512	"UP"
"CD9"	850.922394331282	1.94868717561882	0.504980522437736	3.85893532331059	0.000113882068609842	0.0288787426649974	"UP"
"CDC42EP1"	1083.57562502284	1.58890752113675	0.452751897972057	3.50944419726057	0.000449044274756416	0.0406901929139087	"UP"
"CDH19"	321.015239767045	2.42312318661672	0.634030921887429	3.82177446393844	0.000132494840228831	0.0296695317714326	"UP"
"CDKN1C"	628.333341948685	2.01112479858396	0.476149011750171	4.22372985967504	2.4029205223343e-05	0.0170795085251543	"UP"
"CELF6"	4.65025661830784	-1.46164383969609	0.414624510763437	-3.52522294691358	0.00042312652026511	0.0406088327740549	"DOWN"
"CERS2"	1055.58592911486	1.49690207040547	0.412655224470149	3.62748847376765	0.000286191546810446	0.0364377531266522	"UP"
"CHADL"	733.402317632445	1.82557819462939	0.488446448179134	3.73751964301289	0.000185844574826202	0.0324294008088962	"UP"
"CHP2"	6.22476699749322	2.81844069714373	0.624877813453772	4.51038688918379	6.47094981948847e-06	0.00932334173568624	"UP"
"CLCA2"	8.91315554320636	2.98375242462798	0.744064900033812	4.01007012223314	6.0700718282283e-05	0.0238041006436298	"UP"
"CLDN11"	1610.77919809611	2.66094396907829	0.620249112876179	4.29012136226867	1.78575504470415e-05	0.0160875674903054	"UP"
"CLDND1"	3608.72184901954	2.21881834650765	0.566096227402229	3.91950738956455	8.87301408725833e-05	0.0282229265553034	"UP"
"CLIC4"	1503.215858909	1.53119018761787	0.426259913385122	3.59215150084838	0.000327959083248565	0.0374492138109121	"UP"
"CMTM5"	426.116382980101	1.85410847578203	0.549188252537635	3.37608910462804	0.000735241033847703	0.0465823323533872	"UP"
"CNDP1"	1724.06015734367	2.59269429625787	0.545084901547441	4.75649626121999	1.96981885578451e-06	0.00918371039517136	"UP"
"CNMD"	8.270629971242	1.41447446183411	0.420659567640279	3.3625158456961	0.000772356932368522	0.0478671891736295	"UP"
"CNP"	21343.75980536	2.05913140813403	0.529573818985454	3.8882802251797	0.000100957027713366	0.0282229265553034	"UP"
"CNTFR"	788.16928359436	-0.720461926311037	0.20691865601426	-3.48186065088973	0.000497942743703015	0.0421991475256865	"DOWN"
"CNTN2"	9879.11337452775	1.84984437787138	0.516612825197174	3.58071710117795	0.00034265249742012	0.0377519396156591	"UP"
"CNTNAP4"	161.674467952229	1.5512498002823	0.400063853674586	3.87750551826683	0.000105532934696587	0.0282229265553034	"UP"
"COL17A1"	11.7535048943057	1.70395405589463	0.400336616977195	4.25630327987634	2.07834738206265e-05	0.0165846453212874	"UP"
"COL4A5"	1455.22870516048	2.0403025821533	0.567058205395476	3.59804789480183	0.00032061458678685	0.0374492138109121	"UP"
"COPB1"	557.956515230238	0.575230963416001	0.166195938373933	3.46116138001976	0.000537850285349594	0.0430210709652246	"UP"
"CPB1"	15.2448016825505	2.40526359681575	0.705725370455989	3.40821472134641	0.000653894183692163	0.0440075228258247	"UP"
"CPS1"	242.91440647556	2.05100136092703	0.463291975044985	4.42701680884475	9.55452896076028e-06	0.0114377769059207	"UP"
"CR1"	60.6524059044608	2.21264514742376	0.61640365288773	3.58960420993281	0.000331180417586392	0.0374492138109121	"UP"
"CR2"	7.20747140698252	2.51200770149163	0.723163723423212	3.47363621836648	0.000513456659401351	0.0429359254341314	"UP"
